# Result of gene -disease association pairs from SAIGE. Used in Case_Control.py
Gene,Pheno
CD1D,AA
KLHDC9,AA
OR5A1,AA
SEC14L3,AA
PSMB9,AA
SSR1,AA
KLHDC7A,ACD
CALHM6,ACD
STAT5B,AD
SLC2A7,ADGC
ACCSL,ADGC
PRR13,AP
DNASE1L2,AP
PGPEP1L,AS
TERB2,AS
PDCD2,AS
FLG,Asthma
IL33,Asthma
METTL5,AU
OR51A4,Behcet
OR6M1,Behcet
CD28,Behcet
CFAP410,Behcet
MED13,Celiec
PECR,Celiec
TMPPE,Celiec
DXO,Celiec
AKR1C1,PBC
C17orf53,PBC
CA4,PBC
CREB3L3,PBC
GPR151,PBC
CEP43,PBC
ETV7,PBC
MRPL18,PBC
PHACTR1,PBC
OR2T12,Crohn
TBX10,Diabetes
DHX36,Diabetes
ZNF311,Diabetes
SLC22A11,Gout
MTG2,Gout
ABCG2,Gout
PDLIM3,Gout
ATP6V1C2,Graves
RNASEH1,Graves
SLC17A4,Graves
CIITA,Hepatitis
DNAAF8,Hepatitis
PRSS36,Hepatitis
LRRC38, Hypothyroidism
TSHR, Hypothyroidism
CCT6B, Hypothyroidism
VN1R1, Hypothyroidism
CALR,ITP
TET2,ITP
PPP1R35,ITP
AJAP1,MG
CHI3L1,MG
FBLIM1,MG
SLC37A2,MG
LRRC74A,MS
ZNF266,MS
VEGFA,MS
ANAPC15,Myositis
GCAT,Narcolepsy
MFNG,Narcolepsy
RRP7A,Narcolepsy
ENSG00000288473,NV
UBTD1,PA
KLK1,PA
CBLB,PA
IFIH1,Psoriasis
C6orf58,Psoriasis
EXTL3,RHD
GSTM5,SD
COMMD3,SD
UCMA,SD
CLEC4C,SD
TMEM52B,SD
PINK1,Sicca
CD7,Sicca
MUC17,Sicca
C1orf109,SLE
CAPN9,SLE
CIB4,SLE
LYG1,SLE
UGT1A5,SLE
CSNK2A1,SLE
ENSG00000244255,SLE
PLK3,Vitiligo
